farm,datetime,supplyEC,supplyPH,innerCO2,innerHum,innerTemp,innerSolar
D농가,2023-10-12 15:00,1,5.43,238.97,24.95,28.46,344.68
D농가,2023-10-12 16:00,1,5.53,237.66,27.96,26.92,166.08
D농가,2023-10-12 17:00,1,5.88,233.78,38.71,23.98,34.06
D농가,2023-10-12 18:00,1,6,250.33,60.66,19.63,0
D농가,2023-10-12 19:00,0.29,6,273.41,75.01,16.97,0
D농가,2023-10-12 20:00,0,6,300.7,77.34,16.05,0
D농가,2023-10-12 21:00,0,6,318.22,78.93,16,0
D농가,2023-10-12 22:00,0,6,349.39,79.13,16,0
D농가,2023-10-12 23:00,0,6,346.74,80.38,16,0
D농가,2023-10-13 00:00,0,6,356.23,79.22,15.13,0
D농가,2023-10-13 01:00,0,6,376.44,79.53,14.97,0
D농가,2023-10-13 02:00,0,6,368.54,81.01,14.09,0
D농가,2023-10-13 03:00,0,6,381.54,81.45,14.93,0
D농가,2023-10-13 04:00,0,6,385.74,81.24,14.98,0
D농가,2023-10-13 05:00,0,6,374.55,81.44,14,0
D농가,2023-10-13 06:00,0,6,379.12,81.18,14,2.03
D농가,2023-10-13 07:00,0,6,373.28,80.44,15.4,51.02
D농가,2023-10-13 08:00,0,6,305.24,72.01,19.76,200.5
D농가,2023-10-13 09:00,0,6,253.1,45.74,25.47,324.04
D농가,2023-10-13 10:00,0.32,6,243.94,37.48,28.96,415.71
D농가,2023-10-13 11:00,0.92,5.99,237.26,30.29,30.77,493.05
D농가,2023-10-13 12:00,0.14,5.94,237.51,31.37,28.93,411.37
D농가,2023-10-13 13:00,0.52,5.98,231.56,31.97,27.83,304.47
D농가,2023-10-13 14:00,0.21,5.99,229.05,37.26,25.21,192.15
D농가,2023-10-13 15:00,0.85,6,226.88,41.76,23.48,142.42
D농가,2023-10-16 14:00,0.98,5.9,234,28,30,856
D농가,2023-10-16 15:00,1,6,234,28,30,856
D농가,2023-10-16 16:00,1,6,234,28,30,856
D농가,2023-10-16 17:00,0.24,6,234,28,30,856
D농가,2023-10-16 18:00,0,6,234,28,30,856
D농가,2023-10-16 19:00,0,6,234,28,30,856
D농가,2023-10-16 20:00,0,6,234,28,30,856
D농가,2023-10-16 21:00,0,6,234,28,30,856
D농가,2023-10-16 22:00,0,6,234,28,30,856
D농가,2023-10-16 23:00,0,6,234,28,30,856
D농가,2023-10-17 00:00,0,6,234,28,30,856
D농가,2023-10-17 01:00,0,6,234,28,30,856
D농가,2023-10-17 02:00,0,6,234,28,30,856
D농가,2023-10-17 03:00,0,6,234,28,30,856
D농가,2023-10-17 04:00,0,6,234,28,30,856
D농가,2023-10-17 05:00,0,6,234,28,30,856
D농가,2023-10-17 06:00,0,6,234,28,30,856
D농가,2023-10-17 07:00,0,6,234,28,30,856
D농가,2023-10-17 13:00,1,6,236,26,30,744
D농가,2023-10-17 14:00,0.98,5.89,231.75,26.57,29.48,595.53
D농가,2023-10-17 15:00,1,5.99,227,27,29,457
D농가,2023-10-17 16:00,1,5.96,227,27,29,457
D농가,2023-10-17 17:00,1,6,228.6,40.63,23.03,120.95
D농가,2023-10-17 18:00,1,6,229,43,22,63
D농가,2023-10-18 10:00,1,6,237.47,37,28.74,395.37
D농가,2023-10-18 15:00,0.91,5.98,233,27,31,547
D농가,2023-10-18 16:00,1,6,233,27,31,547
D농가,2023-10-18 17:00,0.99,6,233,27,31,547
D농가,2023-10-18 18:00,1,6,233,27,31,547
D농가,2023-10-18 19:00,1,6,233,27,31,547
D농가,2023-10-18 20:00,0.2,6,233,27,31,547
D농가,2023-10-18 21:00,0,6,233,27,31,547
D농가,2023-10-18 22:00,0,6,233,27,31,547
D농가,2023-10-18 23:00,0,6,233,27,31,547
D농가,2023-10-19 00:00,0,6,233,27,31,547
D농가,2023-10-19 01:00,0,6,233,27,31,547
D농가,2023-10-19 02:00,0,6,233,27,31,547
D농가,2023-10-19 03:00,0,6,233,27,31,547
D농가,2023-10-19 04:00,0,6,233,27,31,547
D농가,2023-10-19 05:00,0,6,233,27,31,547
D농가,2023-10-19 06:00,0,6,233,27,31,547
D농가,2023-10-19 07:00,0,6,233,27,31,547
D농가,2023-10-19 08:00,0,6,233,27,31,547
D농가,2023-10-19 09:00,0.01,6,241.79,30.34,30.56,535.11
D농가,2023-10-19 10:00,0,6,276.04,56.15,25.93,399.86
D농가,2023-10-19 11:00,0,6,258,55,26,425
D농가,2023-10-19 12:00,0,6,258,55,26,425
D농가,2023-10-19 13:00,0,6,157.04,33.48,15.83,258.7
D농가,2023-10-19 14:00,0,6,0,0,0,0
D농가,2023-10-19 15:00,0,6,0,0,0,0
D농가,2023-10-19 16:00,0,6,0,0,0,0
D농가,2023-10-19 17:00,0,6,0,0,0,0
D농가,2023-10-19 18:00,0,6,0,0,0,0
D농가,2023-10-19 19:00,0,6,0,0,0,0
D농가,2023-10-19 20:00,0,6,0,0,0,0
D농가,2023-10-19 21:00,0,6,0,0,0,0
D농가,2023-10-19 22:00,0,6,0,0,0,0
D농가,2023-10-19 23:00,0,6,0,0,0,0
D농가,2023-10-20 00:00,0,6,402.12,61.51,5.29,90.37
